"","station_nbr","date","tmax","tmin","tavg","depart","dewpoint","wetbulb","heat","cool","sunrise","sunset","snowfall","preciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed","TS","GR","RA","DZ","SN","SG","GS","PL","FG+","FG","BR","UP","HZ","FU","DU","SS","SQ","FZ","MI","PR","BC","BL","VC","year","quarter","weekday","daytime"
"15",16,2012-01-01,"50","30","40","M","37","40","25"," 0","-","-","M","  T","29.80","29.89"," 4.2","21","6.8",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,"2012","Q1","Sunday",NA
"16",17,2012-01-01,"56","38","47","M","23","37","18"," 0","-","-","0.0","0.00","29.83","30.50"," 5.4","32","5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Sunday",NA
"17",18,2012-01-01,"59","40","50"," 4","28","40","15"," 0","450","1052","0.0","0.00","29.98","30.49"," 9.0","33","8.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Sunday",602
"18",19,2012-01-01,"38","25","32","10","26","30","33"," 0","443","988","0.5","0.12","29.06","29.79","14.6","29","15.6",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Sunday",545
"19",20,2012-01-01,"59","41","50","M","28","40","15"," 0","-","-","0.0","0.00","29.78","30.48","10.9","33","10.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Sunday",NA
"20",1,2012-01-02,"50","31","41","M","26","35","24"," 0","-","-","M","0.01","29.44","29.62"," 9.8","24","10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Monday",NA
"21",2,2012-01-02,"46","28","37","12","24","32","28"," 0","436","987","  T","0.01","28.51","29.62","12.7","26","13.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Monday",551
"22",3,2012-01-02,"45","24","35","-1","11","28","30"," 0","455","1041","0.0","0.00","29.89","30.63"," 7.7","32","8.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Monday",586
"23",4,2012-01-02,"60","37","49","-2","26","39","16"," 0","448","1062","0.0","0.00","29.93","30.64"," 3.7","36","4.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Monday",614
"24",6,2012-01-02,"60","30","45","-4","27","38","20"," 0","447","1062","0.0","0.00","30.09","30.63"," 9.0","01","9.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Monday",615
"25",7,2012-01-02,"44","26","35","M","17","29","30"," 0","-","-","0.0","0.00","29.23","30.66"," 5.7","34","6.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Monday",NA
"26",8,2012-01-02,"59","36","M","M","29","40","M","M","-","-","M","0.00","30.25","M"," 6.2","36","6.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Monday",NA
"27",9,2012-01-02,"21","11","16","M","8","15","49"," 0","-","-","M","  T","29.67","30.44","14.4","32","14.7",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Monday",NA
"28",10,2012-01-02,"65","45","55","M","33","46","10"," 0","443","1058","M","0.00","30.11","30.14","10.2","30","11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Monday",615
"29",11,2012-01-02,"63","40","52","-1","31","44","13"," 0","444","1058","0.0","0.00","30.10","30.14","10.2","29","11.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Monday",614
"30",12,2012-01-02,"65","47","56","M","33","46","9"," 0","-","-","0.0","0.00","30.09","30.14","11.7","30","12.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Monday",NA
"31",13,2012-01-02,"50","16","33","M","17","28","32"," 0","-","-","M","0.00","24.55","30.54"," 6.1","16","6.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Monday",NA
"32",14,2012-01-02,"45","26","36","-1","16","29","29"," 0","459","1049","0.0","0.00","29.21","30.65"," 6.3","35","7.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Monday",590
"33",15,2012-01-02,"43","29","36","15","24","32","29"," 0","438","982","0.0","0.02","29.20","29.58"," 7.1","24","8.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Monday",544
"34",16,2012-01-02,"50","30","40","M","26","35","25"," 0","-","-","M","0.01","29.48","29.59"," 9.6","27","10.9",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Monday",NA
"35",17,2012-01-02,"45","22","34","M","10","28","31"," 0","-","-","0.0","0.00","29.96","30.66"," 3.7","33","4.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Monday",NA
"36",18,2012-01-02,"53","35","44","-2","23","36","21"," 0","450","1053","0.0","0.00","30.11","30.63"," 6.7","35","6.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Monday",603
"37",19,2012-01-02,"25","15","20","-2","9","17","45"," 0","443","989","  T","  T","29.47","30.20","17.8","31","18.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Monday",546
"38",20,2012-01-02,"53","33","43","M","21","35","22"," 0","-","-","0.0","0.00","29.90","30.62"," 7.9","34","8.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Monday",NA
"39",1,2012-01-03,"32","11","22","M","4","18","43"," 0","-","-","M","0.00","29.67","29.87","10.8","31","11.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Tuesday",NA
"40",2,2012-01-03,"28","9","19","-6","4","16","46"," 0","436","988","0.0","0.00","28.69","29.85","12.3","31","12.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Tuesday",552
"41",3,2012-01-03,"55","21","38"," 2","19","32","27"," 0","455","1041","0.0","0.00","29.55","30.34","11.6","17","11.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Tuesday",586
"42",4,2012-01-03,"62","31","47","-4","26","39","18"," 0","448","1063","0.0","0.00","29.70","30.48"," 3.1","17","4.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Tuesday",615
"43",6,2012-01-03,"62","25","44","-5","26","37","21"," 0","447","1063","0.0","0.00","29.88","30.48"," 5.4","18","5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Tuesday",616
"44",7,2012-01-03,"60","27","44","M","22","35","21"," 0","-","-","0.0","0.00","28.84","30.30","15.7","19","15.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Tuesday",NA
"45",8,2012-01-03,"61","30","M","M","28","38","M","M","-","-","M","0.00","30.12","M"," 3.9","16","3.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Tuesday",NA
"46",9,2012-01-03,"28","10","19","M","11","18","46"," 0","-","-","M","0.00","29.26","30.12"," 8.9","16","9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Tuesday",NA
"47",10,2012-01-03,"48","34","41","M","11","31","24"," 0","443","1059","M","0.00","30.27","30.33","11.8","31","12.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Tuesday",616
"48",11,2012-01-03,"44","25","35","-18","12","28","30"," 0","444","1058","0.0","0.00","30.26","30.33"," 9.3","31","9.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Tuesday",614
"49",12,2012-01-03,"47","34","41","M","12","30","24"," 0","-","-","0.0","0.00","30.25","30.33","12.9","32","13.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Tuesday",NA
"50",13,2012-01-03,"55","31","43","M","16","33","22"," 0","-","-","M","0.00","24.40","30.23"," 2.9","21","6.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Tuesday",NA
"51",14,2012-01-03,"60","24","42"," 5","23","33","23"," 0","460","1050","0.0","0.00","28.84","30.30","12.4","18","12.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Tuesday",590
"52",15,2012-01-03,"30","5","18","-3","2","14","47"," 0","438","983","0.0","0.00","29.44","29.87","13.1","31","13.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Tuesday",545
"53",16,2012-01-03,"32","11","22","M","6","18","43"," 0","-","-","M","0.00","29.70","29.84","10.2","31","10.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Tuesday",NA
"54",17,2012-01-03,"55","19","37","M","18","31","28"," 0","-","-","0.0","0.00","29.61","30.36"," 6.9","18","7.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Tuesday",NA
"55",18,2012-01-03,"59","30","45"," 0","25","37","20"," 0","450","1054","0.0","0.00","29.84","30.41"," 8.8","17","9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Tuesday",604
"56",19,2012-01-03,"26","10","18","-3","5","15","47"," 0","443","990","0.0","0.00","29.43","30.26"," 5.5","23","9.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Tuesday",547
"57",20,2012-01-03,"59","30","45","M","23","37","20"," 0","-","-","0.0","0.00","29.63","30.41"," 7.9","17","8.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Tuesday",NA
"58",1,2012-01-04,"28","9","19","M","-1","14","46"," 0","-","-","M","0.00","29.86","30.03"," 6.3","27","8.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Wednesday",NA
"59",2,2012-01-04,"21","5","13","-11","0","11","52"," 0","436","989","0.0","0.00","28.87","30.01","10.1","27","11.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Wednesday",553
"60",3,2012-01-04,"63","31","47","11","26","37","18"," 0","455","1042","0.0","0.00","29.53","30.27"," 2.5","31","4.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Wednesday",587
"61",4,2012-01-04,"73","41","57"," 6","39","47","8"," 0","448","1064","0.0","0.00","29.55","30.28"," 1.3","35","2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Wednesday",616
"62",6,2012-01-04,"71","31","51"," 2","41","45","14"," 0","448","1064","0.0","0.00","29.72","30.28"," 0.8","22","4.7",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Wednesday",616
"63",7,2012-01-04,"58","32","45","M","28","37","20"," 0","-","-","0.0","0.00","28.90","30.31"," 5.0","33","7.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Wednesday",NA
"64",8,2012-01-04,"72","37","M","M","45","49","M","M","-","-","M","0.00","29.90","M"," 1.4","24","2.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Wednesday",NA
"65",9,2012-01-04,"39","20","30","M","22","26","35"," 0","-","-","M","0.00","29.26","30.06"," 2.8","28","5.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Wednesday",NA
"66",10,2012-01-04,"53","32","43","M","16","33","22"," 0","444","1060","M","0.00","30.35","30.38"," 3.0","29","5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Wednesday",616
"67",11,2012-01-04,"54","22","38","-15","15","29","27"," 0","444","1059","0.0","0.00","30.34","30.37"," 2.3","27","3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Wednesday",615
"68",12,2012-01-04,"53","31","42","M","17","32","23"," 0","-","-","0.0","0.00","30.34","30.38"," 2.7","32","4.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Wednesday",NA
"69",13,2012-01-04,"58","27","43","M","16","32","22"," 0","-","-","M","0.00","24.49","30.36"," 5.5","19","6.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Wednesday",NA
"70",14,2012-01-04,"58","32","45"," 9","27","37","20"," 0","460","1051","0.0","0.00","28.89","30.29"," 6.1","34","7.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Wednesday",591
"71",15,2012-01-04,"23","3","13","-8","-1","11","52"," 0","438","984","0.0","0.00","29.63","30.02"," 5.1","30","6.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Wednesday",546
"72",16,2012-01-04,"27","8","18","M","-1","14","47"," 0","-","-","M","0.00","29.90","30.00"," 7.9","28","9.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Wednesday",NA
"73",17,2012-01-04,"63","28","46","M","25","36","19"," 0","-","-","0.0","  T","29.59","30.29"," 2.1","36","3.3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Wednesday",NA
"74",18,2012-01-04,"62","37","50"," 5","33","41","15"," 0","450","1054","0.0","0.00","29.75","30.28"," 0.8","15","5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Wednesday",604
"75",19,2012-01-04,"34","24","29"," 8","17","25","36"," 0","443","991","0.0","0.00","29.21","30.00"," 7.9","27","9.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Wednesday",548
"76",20,2012-01-04,"62","38","50","M","32","41","15"," 0","-","-","0.0","0.00","29.54","30.27"," 1.1","32","4.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Wednesday",NA
"77",1,2012-01-05,"38","25","32","M","13","25","33"," 0","-","-","M","0.00","29.67","29.84"," 6.9","25","7.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Thursday",NA
"78",2,2012-01-05,"31","20","26"," 2","12","21","39"," 0","436","990","0.0","0.00","28.70","29.84","10.9","26","11.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Thursday",554
"79",3,2012-01-05,"68","31","50","14","28","41","15"," 0","455","1043","0.0","0.00","29.35","30.11"," 7.3","19","7.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Thursday",588
"80",4,2012-01-05,"70","44","57"," 6","41","49","8"," 0","448","1065","0.0","0.00","29.51","30.24"," 0.4","31","1.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Thursday",617
"81",6,2012-01-05,"71","38","55"," 6","43","50","10"," 0","448","1065","0.0","0.00","29.68","30.24"," 0.3","25","2.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Thursday",617
"82",7,2012-01-05,"66","28","47","M","29","40","18"," 0","-","-","0.0","0.00","28.71","30.13","12.2","20","12.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Thursday",NA
"83",8,2012-01-05,"70","46","M","M","46","52","M","M","-","-","M","0.00","29.87","M"," 0.9","33","1.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Thursday",NA
"84",9,2012-01-05,"46","21","34","M","28","32","31"," 0","-","-","0.0","0.00","28.95","29.73"," 0.9","17","2.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Thursday",NA
"85",10,2012-01-05,"68","36","52","M","37","45","13"," 0","444","1060","M","0.00","30.20","30.21"," 8.0","27","8.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Thursday",616
"86",11,2012-01-05,"68","31","50","-3","35","41","15"," 0","444","1060","0.0","0.00","M","30.21"," 6.6","27","M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Thursday",616
"87",12,2012-01-05,"68","32","50","M","38","44","15"," 0","-","-","0.0","0.00","30.18","30.22"," 5.0","28","5.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Thursday",NA
"88",13,2012-01-05,"66","35","51","M","21","37","14"," 0","-","-","M","0.00","24.26","30.04"," 4.2","21","5.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Thursday",NA
"89",14,2012-01-05,"67","29","48","12","28","38","17"," 0","460","1052","0.0","0.00","28.71","30.14"," 9.8","21","10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Thursday",592
"90",15,2012-01-05,"36","17","27"," 6","13","22","38"," 0","438","985","0.0","0.00","29.42","29.82"," 3.5","29","5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Thursday",547
"91",16,2012-01-05,"38","24","31","M","13","25","34"," 0","-","-","M","0.00","29.70","29.82"," 6.9","27","8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Thursday",NA
"92",17,2012-01-05,"68","26","47","M","26","38","18"," 0","-","-","0.0","0.00","29.42","30.14"," 4.3","20","4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Thursday",NA
"93",18,2012-01-05,"66","35","51"," 6","33","42","14"," 0","451","1055","0.0","0.00","29.66","30.21"," 2.7","18","2.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Thursday",604
"94",19,2012-01-05,"47","26","37","16","26","33","28"," 0","443","991","0.0","0.00","29.02","29.83"," 8.4","23","8.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Thursday",548
"95",20,2012-01-05,"67","36","52","M","33","43","13"," 0","-","-","0.0","0.00","29.46","30.21"," 2.1","23","4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Thursday",NA
"96",1,2012-01-06,"46","25","36","M","21","29","29"," 0","-","-","M","  T","29.68","29.84"," 0.3","01","2.4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Friday",NA
"97",2,2012-01-06,"47","21","34","10","23","30","31"," 0","436","990","0.2","0.01","28.71","29.81"," 6.4","22","6.8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Friday",554
"98",3,2012-01-06,"69","40","55","19","35","44","10"," 0","455","1044","0.0","0.00","29.16","29.89"," 6.1","18","9.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Friday",589
"99",4,2012-01-06,"74","55","65","14","52","M","0"," 0","448","1065","0.0","0.00","29.26","M"," 4.2","19","5.4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Friday",617
"100",6,2012-01-06,"75","43","M","M","54","57","M","M","448","1065","0.0","  T","29.44","29.99","10.6","19","10.8",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Friday",617
"101",7,2012-01-06,"67","41","54","M","31","42","11"," 0","-","-","0.0","0.00","28.51","29.89"," 7.3","22","14.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Friday",NA
"102",8,2012-01-06,"73","57","M","M","53","58","M","M","-","-","M","0.00","29.65","M"," 7.7","20","8.0",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Friday",NA
"103",9,2012-01-06,"47","34","41","M","28","36","24"," 0","-","-","0.0","0.00","29.00","29.75"," 9.3","28","9.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Friday",NA
"104",10,2012-01-06,"72","44","58","M","44","50","7"," 0","444","1061","M","0.00","30.14","30.16"," 2.8","21","4.4",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Friday",617
"105",11,2012-01-06,"71","36","54"," 1","40","46","11"," 0","445","1061","0.0","0.00","30.12","30.16"," 1.8","25","2.1",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Friday",616
"106",12,2012-01-06,"70","38","54","M","43","48","11"," 0","-","-","0.0","0.00","30.12","30.17"," 2.4","24","2.6",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Friday",NA
"107",13,2012-01-06,"45","25","35","M","22","31","30"," 0","-","-","M","0.00","24.21","30.01"," 3.6","12","6.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Friday",NA
"108",14,2012-01-06,"67","37","52","16","31","42","13"," 0","460","1053","0.0","0.00","28.50","29.89"," 5.1","21","12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Friday",593
"109",15,2012-01-06,"33","15","24"," 4","19","23","41"," 0","438","986","0.2","0.01","29.46","29.83"," 0.6","35","1.8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Friday",548
"110",16,2012-01-06,"45","25","35","M","24","30","30"," 0","-","-","M","  T","29.72","29.82"," 1.6","19","2.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012","Q1","Friday",NA
